Latitude_deg,Longitude_deg,Altitude_m
0.0,11.664899956256628,83418.97957858746
0.0,11.69288191001014,83278.64404170285
0.0,11.72079013916892,83137.65545728547
0.0,11.748624618557939,82996.01428009523
0.0,11.776385322846446,82853.72098594834
0.0,11.80407222654896,82710.77607179875
0.0,11.831685304026342,82567.18005581526
0.0,11.859224529486843,82422.9334774632
0.0,11.886689876987216,82278.0368975841
0.0,11.914081320433823,82132.49089847738
0.0,11.9413988335838,81986.29608398164
0.0,11.96864239004622,81839.45307955565
0.0,11.995811963283305,81691.96253236244
0.0,12.022907526611657,81543.82511135051
0.0,12.049929053203515,81395.04150733794
0.0,12.076876516088046,81245.61243309686
0.0,12.10374988815266,81095.53862343612
0.0,12.130549142144355,80944.82083528629
0.0,12.15727425067109,80793.45984778693
0.0,12.183925186203195,80641.45646237
0.0,12.210501921074796,80488.81150284596
0.0,12.237004427485287,80335.52581549203
0.0,12.263432677500825,80181.60026913811
0.0,12.28978664305584,80027.03575525363
0.0,12.316066295954615,79871.83318803739
0.0,12.342271607872854,79715.99350450351
0.0,12.368402550359306,79559.51766457385
0.0,12.394459094837426,79402.40665116324
0.0,12.42044121260704,79244.66147027235
0.0,12.446348874846086,79086.28315107664
0.0,12.472182052612334,78927.27274601674
0.0,12.497940716845196,78767.63133089175
0.0,12.523624838367528,78607.36000494775
0.0,12.54923438788748,78446.45989097282
0.0,12.574769336000385,78284.93213538756
0.0,12.600229653190677,78122.7779083394
0.0,12.625615309833856,77959.99840379437
0.0,12.650926276198456,77796.59483963368
0.0,12.676162522448092,77632.56845774548
0.0,12.701324018643515,77467.9205241215
0.0,12.726410734744707,77302.65232895082
0.0,12.751422640613026,77136.76518671727
0.0,12.776359706013373,76970.26043629344
0.0,12.80122190061641,76803.13944103895
0.0,12.826009194000807,76635.40358889685
0.0,12.850721555655516,76467.05429249117
0.0,12.875358954982122,76298.0929892254
0.0,12.8999213612972,76128.52114137914
0.0,12.924408743834706,75958.34023620863
0.0,12.948821071748453,75787.55178604438
0.0,12.97315831411458,75616.15732839284
0.0,12.997420439934066,75444.1584260345
0.0,13.021607418135334,75271.55666712462
0.0,13.045719217576837,75098.35366529482
0.0,13.069755807049715,74924.55105975457
0.0,13.093717155280507,74750.15051539103
0.0,13.11760323093386,74575.15372287366
0.0,13.141414002615344,74399.56239875499
0.0,13.165149438874266,74223.37828557356
0.0,13.188809508206534,74046.6031519582
0.0,13.212394179057583,73869.23879273026
0.0,13.23590341982533,73691.28702901094
0.0,13.259337198863198,73512.74970831955
0.0,13.282695484483142,73333.62870468548
0.0,13.305978244958778,73153.9259187486
0.0,13.329185448528502,72973.64327786653
0.0,13.352317063398726,72792.7827362204
0.0,13.375373057747074,72611.34627492167
0.0,13.398353399725709,72429.3359021172
0.0,13.421258057464657,72246.75365309883
0.0,13.444086999075214,72063.60159040778
0.0,13.466840192653367,71879.88180394517
0.0,13.489517606283298,71695.5964110794
0.0,13.512119208040934,71510.74755675113
0.0,13.534644965997517,71325.33741358854
0.0,13.55709484822328,71139.36818201002
0.0,13.579468822791126,70952.84209033777
0.0,13.60176685778039,70765.76139490516
0.0,13.623988921280631,70578.128380168
0.0,13.64613498139552,70389.9453588142
0.0,13.668205006246732,70201.21467187395
0.0,13.690198963977913,70011.9386888321
0.0,13.712116822758727,69822.11980773788
0.0,13.733958550788914,69631.76045531733
0.0,13.755724116302467,69440.86308708251
0.0,13.777413487571769,69249.43018744793
0.0,13.79902663291191,69057.46426983853
0.0,13.820563520684956,68864.96787680383
0.0,13.842024119304343,68671.94358013128
0.0,13.863408397239303,68478.3939809578
0.0,13.88471632301935,68284.3217098834
0.0,13.90594786523885,68089.72942708433
0.0,13.927102992561615,67894.61982242763
0.0,13.948181673725585,67698.99561558338
0.0,13.969183877547577,67502.85955613875
0.0,13.990109572928073,67306.21442371397
0.0,14.010958728856092,67109.06302807387
0.0,14.031731314414122,66911.40820924309
0.0,14.052427298783101,66713.25283762277
